City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
388,The Valley,18.217,-63.0578,78.66,78,20,AI,1675723687,13.8
389,Troitskoye,52.9821,84.6757,20.73,96,99,RU,1675723688,6.98
390,Leningradskiy,69.3833,178.4167,-25.53,96,99,RU,1675723688,8.12
391,San Cristobal,7.7669,-72.225,78.98,65,63,VE,1675723689,2.66
392,Guerrero Negro,27.9769,-114.0611,64.38,50,98,MX,1675723618,20.36
393,Semey,50.4111,80.2275,10.62,93,76,KZ,1675723690,6.02
394,Muskegon,43.3,-86.1334,35.89,63,75,US,1675723617,18.41
395,Solnechnyy,50.7214,136.6319,-6.88,98,100,RU,1675723691,3.15
396,Moratuwa,6.773,79.8816,75.22,92,99,LK,1675723691,9.22
397,Diu,20.7141,70.9822,67.69,57,1,IN,1675723692,5.7
398,Lawrenceburg,38.0373,-84.8966,54.18,40,0,US,1675723693,5.75
399,Synya,65.3718,58.0387,-7.65,100,92,RU,1675723694,5.48
400,Alice Springs,-23.7,133.8833,76.55,31,75,AU,1675723487,6.91
401,Mount Gambier,-37.8333,140.7667,64.71,61,8,AU,1675723430,7.96
402,Ginir,7.1333,40.7,57.25,24,17,ET,1675723695,3.04
403,Chester,40.1254,-75.8749,41.59,71,75,US,1675723696,12.66
404,Fernie,49.5,-115.0687,42.89,96,100,CA,1675723696,5.32
405,Ponta Delgada,37.7333,-25.6667,56.12,94,75,PT,1675723700,18.41
406,Malakwal,32.5536,73.2123,52.2,58,0,PK,1675723701,7.36
407,Mount Isa,-20.7333,139.5,76.77,94,100,AU,1675723702,14.97
408,Iqaluit,63.7506,-68.5145,-25.87,68,40,CA,1675723703,11.5
409,Yumen,40.2833,97.2,24.22,49,84,CN,1675723705,3.0
410,Makushino,55.2103,67.2442,2.05,98,94,RU,1675723706,3.58
411,Azángaro,-14.9167,-70.2167,49.41,76,93,PE,1675723708,4.68
412,Tupik,54.4253,119.9327,-27.87,100,100,RU,1675723709,0.65
413,Butembo,0.15,29.2833,64.99,49,98,CD,1675723711,2.26
414,Kamiiso,41.8167,140.65,17.98,93,40,JP,1675723711,5.75
415,Laas,46.6166,10.7002,31.08,97,96,IT,1675723712,5.21
416,Saint Paul Harbor,57.79,-152.4072,36.91,60,0,US,1675723712,10.36
417,Samarai,-10.6167,150.6667,78.98,85,100,PG,1675723712,9.42
418,Preston,53.7667,-2.7167,42.89,88,53,GB,1675723713,5.12
419,Hoquiam,46.9809,-123.8893,51.96,81,100,US,1675723713,17.27
420,Evensk,61.95,159.2333,-20.06,76,55,RU,1675723714,9.93
421,Magistral'nyy,56.1725,107.4458,4.14,96,100,RU,1675723714,3.36
422,Oxapampa,-10.5775,-75.4017,60.8,98,100,PE,1675723714,0.72
423,Viedma,-40.8135,-62.9967,70.47,39,31,AR,1675723715,15.39
424,Tocopilla,-22.092,-70.1979,74.07,76,34,CL,1675723715,9.4
425,Buchanan,5.8808,-10.0467,78.42,87,29,LR,1675723716,5.06
426,Muhororo,0.9381,30.7594,66.06,47,52,UG,1675723716,2.66
427,Māndal,25.45,74.5667,61.27,51,0,IN,1675723717,8.63
428,Alofi,-19.0595,-169.9187,82.29,74,75,NU,1675723717,8.05
